"customer_id","txn_id","txn_dts","order_id","amount"
"6311","6890","2021-11-05 05:06:13","4242","876.47"
"5866","9558","2023-08-28 08:10:46","3578","824.21"
"4104","8725","2023-04-05 11:47:01","9861","241.15"
"7735","9171","2021-12-21 23:37:36","5796","659.38"
"7815","7253","2023-08-07 20:57:59","8541","408.01"
"6534","18","2023-01-23 01:00:31","8086","535.13"
"9298","3632","2022-04-08 02:32:36","2334","871.15"
"8322","8016","2021-12-28 11:24:21","4938","841.85"
"8852","3329","2023-06-17 16:49:18","9882","894.71"
"9769","6306","2022-06-08 00:36:06","9431","342.32"
"540","4260","2022-10-09 21:36:06","1131","122.01"
"8857","6410","2023-07-17 13:21:36","8594","483.39"
"6871","9497","2022-05-06 12:43:18","7382","751.59"
"1889","7969","2023-01-03 18:17:09","5493","330.41"
"3612","6095","2023-06-13 22:31:13","2793","560.12"
"3584","741","2023-07-01 10:38:48","9402","891.01"
"3088","9934","2023-07-11 12:20:50","9436","161.51"
"596","9920","2021-10-21 13:45:14","3188","217.30"
"373","8916","2022-08-31 08:31:49","1662","413.14"
"5739","7144","2022-02-21 19:47:22","1000","870.91"
"6410","3266","2022-04-24 19:39:20","5874","792.30"
"2592","2653","2022-06-27 15:35:18","8674","419.72"
"216","7727","2023-03-17 22:24:45","6715","984.56"
"4111","2513","2022-12-14 04:45:56","203","715.08"
"4601","2209","2022-04-09 06:46:31","7894","594.59"
"2168","5083","2022-08-02 03:35:08","6789","109.35"
"2622","3922","2022-03-27 01:15:54","7342","696.06"
"9297","6852","2023-05-27 13:00:19","766","271.42"
"7313","8643","2023-08-23 03:00:00","7983","890.07"
"5340","5112","2023-07-17 10:58:00","7649","63.81"
"2138","241","2022-08-12 20:49:43","6840","503.00"
"8656","1602","2022-03-01 16:51:02","1948","934.42"
"1641","7792","2023-07-30 00:58:49","6499","104.71"
"4202","2185","2023-02-24 09:47:31","8533","512.40"
"693","666","2022-03-13 13:36:44","4254","855.90"
"9954","8101","2023-04-11 01:43:45","7514","658.23"
"6153","9619","2022-05-18 19:42:54","145","224.55"
"6016","1535","2022-06-24 11:58:06","584","42.29"
"4743","5913","2022-08-07 09:52:34","8986","241.73"
"790","5044","2022-02-21 06:09:42","8569","146.54"
"6794","1780","2021-12-20 23:22:36","9188","775.51"
"7849","1900","2023-04-01 03:49:18","8154","604.52"
"2728","9248","2022-07-23 11:34:39","1424","113.30"
"6304","128","2021-12-19 22:41:56","6452","884.77"
"9582","3559","2022-08-29 08:25:17","1370","534.92"
"7065","3144","2022-07-10 05:43:28","1884","108.73"
"1948","8144","2022-08-09 20:48:47","4202","303.92"
"1714","3243","2022-09-25 19:45:56","6193","582.19"
"7993","2431","2022-12-16 18:21:17","6650","687.57"
"8169","3309","2022-11-30 09:06:53","9990","305.55"
"581","8603","2022-01-28 00:10:45","4208","926.94"
"7707","1087","2023-06-18 02:29:28","1386","801.32"
"665","4922","2021-10-16 15:21:21","7349","522.75"
"8273","6262","2023-09-04 15:57:51","8680","809.18"
"9832","1251","2023-05-07 22:51:51","6985","348.96"
"7900","6366","2023-01-19 13:44:04","9607","300.24"
"8304","9343","2022-04-20 09:53:14","5450","174.46"
"6294","6286","2021-11-22 03:00:27","2683","234.50"
"588","7886","2022-08-25 08:00:28","2308","791.25"
"6736","576","2023-01-22 22:39:20","7639","670.17"
"2480","331","2021-10-29 23:37:13","9802","925.18"
"5679","3194","2022-07-29 13:46:35","8033","109.79"
"5535","2036","2023-03-18 21:41:40","4855","264.18"
"3098","625","2023-06-04 06:05:02","6422","753.75"
"1234","731","2023-09-05 07:34:04","655","740.89"
"9368","3538","2022-04-01 03:30:15","1531","886.84"
"1858","2386","2022-08-31 15:04:52","9273","611.61"
"1625","6802","2023-05-28 19:26:49","2558","76.60"
"8136","5316","2023-04-18 23:35:37","4138","151.15"
"481","5659","2022-07-01 23:19:52","2914","35.19"
"2347","3407","2021-10-07 06:40:15","3355","104.50"
"9909","3815","2023-08-03 02:36:52","2324","271.75"
"4230","2132","2021-10-26 11:11:22","3409","557.44"
"9063","5357","2022-02-24 17:16:40","9716","118.94"
"2562","6170","2023-09-02 00:18:03","2407","235.83"
"3877","3013","2022-05-18 20:09:46","6102","602.90"
"6452","1276","2023-04-03 03:48:32","1199","264.86"
"2331","9684","2022-08-28 16:35:20","4882","513.75"
"8670","947","2022-07-24 03:37:00","6694","65.73"
"6088","4805","2022-10-05 12:24:01","1491","214.18"
"9921","2521","2023-06-14 18:32:40","7309","626.62"
"4062","7429","2022-06-26 03:42:38","8574","257.17"
"3336","4828","2021-10-06 04:46:45","7357","970.34"
"1875","4934","2022-12-02 05:50:10","9980","267.17"
"3807","8908","2023-05-19 15:02:12","6640","401.40"
"4","4203","2022-08-10 05:40:04","8619","967.14"
"5797","4643","2023-08-12 12:35:33","3211","910.14"
"5007","8743","2022-06-25 18:26:12","1936","832.16"
"4746","4632","2022-11-12 12:49:49","2202","983.81"
"6730","8905","2022-08-14 02:34:52","4564","475.92"
"2573","2020","2023-03-30 04:02:14","1974","669.72"
"9168","4898","2022-07-06 18:32:13","7744","637.78"
"5214","8072","2023-02-23 05:35:48","986","742.70"
"3534","418","2022-07-07 19:34:54","7725","608.11"
"6473","105","2022-07-12 09:08:10","674","190.44"
"3714","2304","2023-05-11 13:31:10","9385","431.67"
